Date,Type,Value,Transaction Currency,Gross Amount,Currency Gross Amount,Exchange Rate,Fees,Taxes,Shares,ISIN,WKN,Ticker Symbol,Security Name,Note
2023-12-13T00:00,Buy,"3,238.70",USD,,,,0.00,0.00,73.44,US5529838840,141156595,MRGAX,MFS Investment Management MFS CORE EQUITY FUND-A,Trade-ID: 5916867018 | Transaction-ID: 25895472070
2023-12-20T00:00,Buy,"1,713.26",USD,,,,0.00,0.00,135.65,US0919277980,141154881,BRBCX,Blackrock Funds BR Tactical Opportunities - Investor C,Trade-ID: 5934278576 | Transaction-ID: 25974570541
2023-12-22T00:00,Buy,55.05,USD,,,,0.00,0.00,6.35,US92647P6390,212175478,CBHAX,Victory Capital VICTORY MARKET NEUTRAL INCOME FD A,Trade-ID: 5937219417 | Transaction-ID: 25988616654
2023-12-22T00:00,Buy,615.37,USD,,,,0.61,0.00,6,US9220427424,52197301,0LMN.L,VANGUARD TOT WORLD STK ETF,Trade-ID: 5937589610 | Transaction-ID: 25989538870
2023-12-26T00:00,Buy,216.82,USD,,,,0.22,0.00,4,US46137V2410,319359474,SPHQ,INVESCO S&P 500 QUALITY ETF,Trade-ID: 5940556908 | Transaction-ID: 26007336387
2023-12-26T00:00,Buy,658.86,USD,,,,0.66,0.00,6,US78463X4189,154111525,QWLD,SPDR MSCI WORLD STRATEGICFAC,Trade-ID: 5940557123 | Transaction-ID: 26007500154
2023-12-28T00:00,Buy,"1,632.44",USD,,,,0.00,0.00,167.43,US09260C2089,335839009,BMBCX,Blackrock Funds BR Systematic Multi-Strategy  - C,Trade-ID: 5948492585 | Transaction-ID: 26047619935
2024-01-03T00:00,Buy,47.38,USD,,,,0.05,0.00,1,US82889N8552,490450360,PFIX,SIMPLIFY INTEREST RATE HEDGE,Trade-ID: 6103062740 | Transaction-ID: 26736869121
2024-01-04T00:00,Buy,18.59,USD,,,,0.02,0.00,0.4036,US82889N8552,490450360,PFIX,SIMPLIFY INTEREST RATE HEDGE,Trade-ID: 6181050150 | Transaction-ID: 27081467296
2024-01-04T00:00,Buy,36.36,USD,,,,0.04,0.00,0.7998,US82889N8552,490450360,PFIX,SIMPLIFY INTEREST RATE HEDGE,Trade-ID: 6180894574 | Transaction-ID: 27081059388
2024-01-05T00:00,Buy,66.08,USD,,,,0.07,0.00,1.233,US82889N8552,490450360,PFIX,SIMPLIFY INTEREST RATE HEDGE,Trade-ID: 6261975253 | Transaction-ID: 27435015903
2024-01-07T00:00,Buy,88.57,USD,,,,0.09,0.00,1.7965,US82889N8552,490450360,PFIX,SIMPLIFY INTEREST RATE HEDGE,Trade-ID: 6431308585 | Transaction-ID: 28143662596
2024-01-07T00:00,Buy,204.70,USD,,,,0.20,0.00,3.2108,US46137V2410,319359474,SPHQ,INVESCO S&P 500 QUALITY ETF,Trade-ID: 6431079208 | Transaction-ID: 28143355644
2024-01-08T00:00,Buy,99.97,USD,,,,0.10,0.00,2.2203,US82889N8552,490450360,PFIX,SIMPLIFY INTEREST RATE HEDGE,Trade-ID: 6531483597 | Transaction-ID: 28545059008
2024-01-09T00:00,Sell,"-122,432.02",USD,,,,0.00,0.00,"4,156",US45782C1365,463451348,DBJA,INNOVATOR DBL STACK 9 BUFF-J,
2024-01-10T00:00,Buy,112.04,USD,,,,0.11,0.00,2.7808,US82889N8552,490450360,PFIX,SIMPLIFY INTEREST RATE HEDGE,Trade-ID: 6731384563 | Transaction-ID: 29332768870
2024-01-11T00:00,Buy,101.34,USD,,,,0.10,0.00,2.106,US82889N8552,490450360,PFIX,SIMPLIFY INTEREST RATE HEDGE,Trade-ID: 6845910657 | Transaction-ID: 29782067097
2024-01-23T00:00,Buy,65.24,USD,,,,0.00,0.00,7.56,US92647P6390,212175478,CBHAX,Victory Capital VICTORY MARKET NEUTRAL INCOME FD A,Trade-ID: 6000014332 | Transaction-ID: 26285616985
2024-02-12T00:00,Buy,101.72,USD,,,,0.10,0.00,2.1872,US82889N8552,490450360,PFIX,SIMPLIFY INTEREST RATE HEDGE,Trade-ID: 6964213684 | Transaction-ID: 30226893120
2024-02-22T00:00,Buy,24.84,USD,,,,0.00,0.00,2.94,US92647P6390,212175478,CBHAX,Victory Capital VICTORY MARKET NEUTRAL INCOME FD A,Trade-ID: 6078506241 | Transaction-ID: 26633646540
2024-02-29T00:00,Buy,74.67,USD,,,,0.07,0.00,4,US3026352068,426117794,FSK,FS KKR CAPITAL CORP,Trade-ID: 6098724444 | Transaction-ID: 26718978810
2024-03-01T00:00,Buy,830.43,USD,,,,0.83,0.00,20,US82889N8552,490450360,PFIX,SIMPLIFY INTEREST RATE HEDGE,Trade-ID: 5956005525 | Transaction-ID: 26085094872
2024-03-01T00:00,Buy,"9,410.70",USD,,,,1.14,0.00,228,US82889N8552,490450360,PFIX,SIMPLIFY INTEREST RATE HEDGE,Trade-ID: 5956027086 | Transaction-ID: 26085148350
2024-03-04T00:00,Buy,99.82,USD,,,,0.10,0.00,5.2291,US3026352068,426117794,FSK,FS KKR CAPITAL CORP,Trade-ID: 6188160802 | Transaction-ID: 27114270567
2024-03-04T00:00,Buy,"1,064.68",USD,,,,1.00,0.00,55.6318,US3026352068,426117794,FSK,FS KKR CAPITAL CORP,Trade-ID: 6188268985 | Transaction-ID: 27114567209
2024-03-06T00:00,Buy,77.28,USD,,,,0.08,0.00,1.5852,US82889N8552,490450360,PFIX,SIMPLIFY INTEREST RATE HEDGE,Trade-ID: 6350976775 | Transaction-ID: 27806871171
2024-03-07T00:00,Buy,84.62,USD,,,,0.08,0.00,4.2118,US3026352068,426117794,FSK,FS KKR CAPITAL CORP,Trade-ID: 6439746110 | Transaction-ID: 28179537856
2024-03-07T00:00,Buy,103.73,USD,,,,0.10,0.00,5.1634,US3026352068,426117794,FSK,FS KKR CAPITAL CORP,Trade-ID: 6439746011 | Transaction-ID: 28179537460
2024-03-07T00:00,Buy,"1,021.74",USD,,,,0.92,0.00,50.9268,US3026352068,426117794,FSK,FS KKR CAPITAL CORP,Trade-ID: 6439752960 | Transaction-ID: 28179570516
